ID,Task,Subject Name,Experiment,Objects,Trial,Annotation file
0,approach handright cup and approach handleft pitcher and enclose handright cup and enclose handleft pitcher and approach handleft cup to pour pitcher 31 into cup 11 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 1,Trial 1.xml
1,approach handright cup and enclose handright cup and approach handleft pitcher and enclose handleft pitcher and approach handleft cup to pour pitcher 18 into cup 1 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 2,Trial 2.xml
2,approach handleft pitcher and enclose handleft pitcher and approach handright cup and enclose handright cup and approach handleft cup to pour pitcher 16 into cup 6 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 3,Trial 3.xml
3,approach handleft pitcher and enclose handleft pitcher and approach handright cup and enclose handright cup and approach handleft cup to pour pitcher 16 into cup 21 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 4,Trial 4.xml
4,approach handright pitcher and enclose handright pitcher and approach handleft cup and enclose handleft cup and approach handright cup to pour pitcher 20 into cup 23 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 5,Trial 5.xml
5,approach handleft pitcher and enclose handleft pitcher and approach handright cup and enclose handright cup and approach handleft cup to pour pitcher 19 into cup 27 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 6,Trial 6.xml
6,approach handright pitcher and enclose handright pitcher and approach handleft cup and enclose handleft cup and approach handright cup to pour pitcher 2 into cup 23 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 7,Trial 7.xml
7,approach handright cup and enclose handright cup and approach handleft pitcher and enclose handleft pitcher and approach handleft cup to pour pitcher 27 into cup 10 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 8,Trial 8.xml
8,approach handright cup and approach handleft pitcher and enclose handright cup and enclose handleft pitcher and approach handleft cup to pour pitcher 31 into cup 20 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 9,Trial 9.xml
9,approach handright cup and enclose handright cup and approach handleft pitcher and enclose handleft pitcher and approach handleft cup to pour pitcher 2 into cup 1 \n,BBM01,Expt1 (Pouring),Mug and Pitcher base,Trial 10,Trial 10.xml
